epsilon,execution_time,rmse,maximum_difference,mean_difference
1e-20,6.596866130828857,0.0,0.0,0.0
1e-18,7.322297811508179,0.0,0.0,0.0
1e-16,6.947869062423706,0.0,0.0,0.0
1e-14,6.480681419372559,0.0,0.0,0.0
1e-12,6.168971300125122,0.0,0.0,0.0
1e-10,7.305850267410278,0.0,0.0,0.0
1e-08,7.615854501724243,0.0,0.0,0.0
1e-06,7.047530889511108,0.0,0.0,0.0
