epsilon,execution_time,rmse,maximum_difference,mean_difference
1e-20,9.693109512329102,0.0,0.0,0.0
1e-18,10.13005781173706,0.0,0.0,0.0
1e-16,13.090906143188477,0.0,0.0,0.0
1e-14,9.791226387023926,0.0,0.0,0.0
1e-12,8.96638798713684,0.0,0.0,0.0
1e-10,9.250645399093628,0.0,0.0,0.0
1e-08,9.080785989761353,0.0,0.0,0.0
1e-06,9.563650131225586,0.0,0.0,0.0
